Year,County,Average of temperature that year,Sum of Positive Cases of West Nile Virus
2010,San Joaquin,16.4,6
2010,San Luis Obispo,15.4,
2010,San Mateo,12.6,
2010,Santa Barbara,15.9,
2010,Santa Clara,15.4,
2010,Santa Cruz,13.3,
2010,Shasta,14.2,
2010,Sierra,8.3,
2010,Siskiyou,8.4,
2010,Solano,16,
2010,Sonoma,16.2,
2010,Stanislaus,15.6,12
2010,Tehama,16.5,
2010,Trinity,10.6,
2010,Tulare,15.8,12
2010,Tuolumne,11.4,
2010,Ventura,15.7,
2010,Yolo,16.6,
2011,Alameda,15.2,
2011,Alpine,-10.9,
2011,Amador,13.1,1
2011,BUTTE,15.7,3
2011,Calaveras,9.2,
2011,Colusa,15.7,
2011,Contra Costa,14.3,3
2011,Del Norte,9.9,
2011,El Dorado,3.6,1
2011,Fresno,15.5,9
2011,Glenn,12.3,1
2011,Humboldt,13,
2011,Imperial,24,
2011,Inyo,12.9,
2011,Kern,17.5,18
2011,Kings,16.6,1
2011,Lake,13.7,
2011,Lassen,7.2,
2011,Los Angeles,15.6,58
2011,Madera,15,2
2011,Marin,13.4,
2011,Mariposa,16.8,
2011,Mendocino,13.5,
2011,Mono,11,
2011,Monterey,15.6,
2011,Napa,13.8,
2011,Nevada,5.7,
2011,Orange,18.8,10
2011,Placer,15.2,1
2011,Plumas,8.1,
2011,Riverside,13.3,7
2011,Sacramento,16.4,4
2011,San Benito,14.2,
2011,San Bernardino,23,4
2011,San Diego,17.4,
2011,San Francisco,13.7,
2011,San Joaquin,15.1,5
2011,San Luis Obispo,15.3,
2011,San Mateo,12.4,
2011,Santa Barbara,15.7,1
2011,Santa Clara,15.8,1
2011,Santa Cruz,13.4,1
2011,Shasta,14.5,
2011,Sierra,7.6,
2011,Siskiyou,8.1,
2011,Solano,15.7,
2011,Sonoma,15.9,
2011,Stanislaus,15.4,11
2011,Tehama,16.3,1
2011,Trinity,11.3,
2011,Tulare,15.8,11
2011,Tuolumne,11.2,
2011,Ventura,16.1,
2011,Yolo,16.4,
2012,Alameda,16,2
2012,Alpine,4.1,
2012,Amador,14.3,
2012,BUTTE,16.9,10
2012,Calaveras,11.6,
2012,Colusa,18.1,3
2012,Contra Costa,15.3,4
2012,Del Norte,10.3,
2012,El Dorado,16.5,
2012,Fresno,16.9,24
2012,Glenn,13.2,7
2012,Humboldt,13.6,
2012,Imperial,24.8,1
2012,Inyo,13.7,
2012,Kern,18.7,25
2012,Kings,18.1,3
2012,Lake,14.3,1
2012,Lassen,8.3,
2012,Los Angeles,17.1,163
2012,Madera,16.5,3
2012,Marin,13.6,
2012,Mariposa,17.8,
2012,Mendocino,13.9,
2012,Mono,12.3,
2012,Monterey,16.2,1
2012,Napa,14,
2012,Nevada,7.1,
2012,Orange,19.7,42
2012,Placer,16.4,12
2012,Plumas,10.7,
2012,Riverside,14.6,19
2012,Sacramento,17.5,30
2012,San Benito,15.3,
2012,San Bernardino,23.9,32
2012,San Diego,18.3,1
2012,San Francisco,13.8,1
2012,San Joaquin,16.4,13
2012,San Luis Obispo,16.3,
2012,San Mateo,12.4,
2012,Santa Barbara,16.4,
2012,Santa Clara,16.1,
2012,Santa Cruz,14.3,
2012,Shasta,15.4,1
2012,Sierra,8.9,
2012,Siskiyou,8.9,
2012,Solano,16.8,2
2012,Sonoma,16.4,
2012,Stanislaus,16.8,26
2012,Tehama,17.2,4
2012,Trinity,12,
2012,Tulare,17.6,7
2012,Tuolumne,14.3,
2012,Ventura,16.2,7
2012,Yolo,17.6,10
2013,Alameda,15.9,
2013,Alpine,4.2,
2013,Amador,14.8,
2013,BUTTE,17.1,24
2013,Colusa,16.3,2
2013,Contra Costa,16.4,5
2013,Del Norte,8.9,
2013,El Dorado,14.5,1
2013,Fresno,16.9,7
2013,Glenn,12.3,9
2013,Humboldt,13.9,
2013,Imperial,24.3,
2013,Inyo,14.2,
2013,Kern,18.8,25
2013,Kings,17.8,1
2013,Lake,14.9,
2013,Lassen,7.9,
2013,Los Angeles,16.3,158
2013,Madera,16.9,3
2013,Marin,14.6,2
2013,Mariposa,17.8,
2013,Mendocino,14.4,
2013,Mono,12.2,
2013,Monterey,16.5,
2013,Napa,14.6,1
2013,Nevada,6.2,
2013,Orange,19.5,9
2013,Placer,16.3,6
2013,Riverside,14.3,35
2013,Sacramento,17.6,10
2013,San Benito,15.8,
2013,San Bernardino,23.1,13
2013,San Diego,17.6,
2013,San Francisco,14.1,1
2013,San Joaquin,16.6,8
2013,San Luis Obispo,16.7,
2013,San Mateo,12.6,
2013,Santa Barbara,15.8,1
2013,Santa Clara,15.9,2
2013,Santa Cruz,14.8,
2013,Shasta,16.5,1
2013,Sierra,8.3,
2013,Siskiyou,10.7,1
2013,Solano,17.2,1
2013,Sonoma,16.7,
2013,Stanislaus,17,18
2013,Tehama,17.6,3
2013,Trinity,-2.5,
2013,Tulare,18,5
2013,Ventura,17,2
2013,Yolo,17.7,6
2014,Alameda,17.4,1
2014,Alpine,4.6,
2014,Amador,15.3,
2014,BUTTE,18.1,24
2014,Calaveras,12.1,
2014,Colusa,17.3,3
2014,Contra Costa,16.5,5
2014,Del Norte,12,
2014,El Dorado,14.9,
2014,Fresno,17.9,43
2014,Glenn,14.3,10
2014,Humboldt,15.3,
2014,Imperial,25.5,1
2014,Inyo,15.3,
2014,Kern,20.4,11
2014,Kings,19.3,4
2014,Lake,16.2,1
2014,Lassen,9.2,
2014,Los Angeles,17.9,253
2014,Madera,17.6,3
2014,Marin,15.7,
2014,Mariposa,19,
2014,Mendocino,15.8,1
2014,Mono,13.9,
2014,Monterey,17.7,
2014,Napa,15.4,
2014,Nevada,8,
2014,Orange,21,263
2014,Placer,17.6,7
2014,Plumas,11.7,
2014,Riverside,15.3,14
2014,Sacramento,18.8,10
2014,San Benito,16.6,
2014,San Bernardino,17.1,21
2014,San Diego,18.6,11
2014,San Francisco,15.5,
2014,San Joaquin,18.3,9
2014,San Luis Obispo,17.7,
2014,San Mateo,14.1,
2014,Santa Barbara,17,
2014,Santa Clara,17.4,10
2014,Santa Cruz,15.7,
2014,Shasta,17.1,2
2014,Sierra,9.4,
2014,Siskiyou,9.9,
2014,Solano,18.2,5
2014,Sonoma,17.8,
2014,Stanislaus,18,33
2014,Tehama,18.5,4
2014,Trinity,14.5,
2014,Tulare,19.2,21
2014,Tuolumne,14.1,
2014,Ventura,18,1
2014,Yolo,19,15
